Name,ID Competição,Classe Vela,Position,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
JORDAN Agustina (CHIAJ1)                  F01,7,Ilca 6,"54
54.0",G,57,,479,422,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
PARK Jeongbin (KORJP14)                   F04,7,Ilca 6,"59
59.0",G,58,,497,437,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
MANSY Khouloud (EGYKM1)                F98,7,Ilca 6,"56
56.0",G,59,,512,451,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
ROIHU Katariina (ESTKR11)                  F05,7,Ilca 6,"57
57.0",G,60,,531,469,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
NAUMENKO Sofiia (UKRSN6)               F98,7,Ilca 6,"48
48.0",G,61,,558,496,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
RAAMAT Eliise (ESTER3)                      F04,7,Ilca 6,"60
60.0",G,62,,565,504,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
NORSELL Michala (DENMN14)             F99,7,Ilca 6,"30
30.0",G,63,,600,534,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
VEERAVAMSHAM Vaishnavi (INDVV7) F06,7,Ilca 6,"DNF
   (66.0)",G,64,,616,550,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
VLACHOU MARIA (GREMV1)                F73,7,Ilca 6,"DNF
   (66.0)",G,65,,660,594,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
BARWINSKA Agata (POLAB11)             F95,7,Ilca 6,"2
2.0",G,1,,105,86,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
BARRUE Marie (FRAMB65)                   F96,7,Ilca 6,"12
12.0",G,2,,139,111,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
CERVERA Louise (FRALC33)                F98,7,Ilca 6,"9
9.0",G,3,,138,113,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
PLASSCHAERT Emma (BELPE1)         F93,7,Ilca 6,"7
7.0",G,4,,181,115,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
DOUGLAS Sarah (CANSD7)                  F94,7,Ilca 6,"1
1.0",G,5,,166,119,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
SNELLGROVE Hannah (GBRHS12)      F90,7,Ilca 6,"23
23.0",G,6,,161,128,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
BENINI FLORIANI Chiara (ITACB88)     F01,7,Ilca 6,"30
30.0",G,7,,188,145,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
AKKERMAN Mirthe (NEDMA3)              F98,7,Ilca 6,"25
25.0",G,8,,180,149,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
STRANSKY Mara (AUSMS65)                F99,7,Ilca 6,"28
28.0",G,9,,203,159,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
JONKER Maxime (NEDMJ5)                  F95,7,Ilca 6,"8
8.0",G,10,,235,169,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
MICHON Pernelle (FRAPM12)               F93,7,Ilca 6,"5
5.0",G,11,,208,164,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
